id,name,website,entity_type,cxo_roles,categories,headquarters,geographies,founded_year,verification_status
"ent_oracle","Oracle","https://www.oracle.com/","software company","CFO|CIO|CTO|CHRO","Enterprise Technology|Artificial Intelligence","","United States|Austin","","verified"
"ent_sap","SAP","https://www.sap.com/","software company","CFO|CIO|CTO|COO|CHRO","Enterprise Technology|Artificial Intelligence","","United States|New York|London|Singapore","","verified"
"ent_salesforce","Salesforce","https://www.salesforce.com/","software company","CMO|CIO|CTO|COO","Enterprise Technology|Artificial Intelligence","","United States|San Francisco Bay Area","","verified"
"ent_adobe","Adobe","https://www.adobe.com/","software company","CMO|CIO|CTO","Enterprise Technology|Artificial Intelligence","","United States|Silicon Valley|San Francisco Bay Area","","verified"
"ent_crowdstrike","CrowdStrike","https://www.crowdstrike.com/","cybersecurity company","CISO|CIO|CTO","Cybersecurity|Enterprise Technology|Artificial Intelligence","","United States|Austin","","verified"
"ent_palo_alto_networks","Palo Alto Networks","https://www.paloaltonetworks.com/","cybersecurity company","CISO|CIO|CTO","Cybersecurity|Enterprise Technology|Artificial Intelligence","","United States|Silicon Valley|San Francisco Bay Area","","verified"
"ent_harvey","Harvey","https://www.harvey.ai/","Organization","CIO|CTO|CLO|General Counsel","Legal Technology|Artificial Intelligence","","United States","","verified"
"ent_capgemini","Capgemini","https://www.capgemini.com/","Organization","CEO|CFO|CIO|CTO|CISO","Consulting|Enterprise Technology|Artificial Intelligence|Cybersecurity","","United States","","verified"
"ent_slalom","Slalom","https://www.slalom.com/","Organization","CEO|CFO|CIO|CTO","Consulting|Enterprise Technology|Artificial Intelligence","","United States","","verified"
"ent_cognizant","Cognizant","https://www.cognizant.com/","Organization","CEO|CFO|CIO|CTO","Consulting|Enterprise Technology|Artificial Intelligence","","United States","","verified"
"ent_findem","Findem","https://www.findem.ai/","Organization","CHRO","HR Technology|Recruiting|Artificial Intelligence","","United States","","verified"
"ent_vic_ai","Vic.ai","https://www.vic.ai/","Organization","CFO","CFO Technology|Artificial Intelligence|Accounting Software","","United States","","verified"
"ent_zeni","Zeni","https://www.zeni.ai/","Organization","CEO|CFO","CFO Technology|Accounting|Artificial Intelligence","","United States","","verified"
"ent_microsoft","Microsoft","https://www.microsoft.com/","Organization","CEO|CFO|CIO|CTO|CISO","Enterprise Technology|Artificial Intelligence|AI Infrastructure|Cybersecurity","","United States","","verified"
"ent_nvidia","NVIDIA","https://www.nvidia.com/","Organization","CIO|CTO","AI Infrastructure|Artificial Intelligence|Enterprise Technology","","United States","","verified"
"ent_intel","Intel","https://www.intel.com/","Organization","CIO|CTO","Enterprise Technology|AI Infrastructure","","United States","","verified"
"ent_databricks","Databricks","https://www.databricks.com/","Organization","CIO|CTO","Enterprise Technology|Artificial Intelligence|AI Infrastructure","","United States","","verified"
"ent_writer","Writer","https://writer.com/","Organization","CIO|CTO","Artificial Intelligence|Enterprise Technology","","United States","","verified"
"ent_scale_ai","Scale AI","https://scale.com/","Organization","CIO|CTO","Artificial Intelligence|AI Infrastructure","","United States","","verified"
"ent_glean","Glean","https://www.glean.com/","Organization","CIO|CTO","Artificial Intelligence|Enterprise Technology","","United States","","verified"
"ent_servicenow","ServiceNow","https://www.servicenow.com/","Organization","CIO|CTO|CISO|COO","Enterprise Technology|Artificial Intelligence","","United States","","verified"
"ent_centific","Centific","https://www.centific.com/","Organization","CIO|CTO","Artificial Intelligence|Consulting|Enterprise Technology","","United States","","verified"
"ent_you_com","You.com","https://you.com/","Organization","CIO|CTO","Artificial Intelligence","","United States","","verified"
"ent_granica","Granica","https://granica.ai/","Organization","CIO|CTO|CISO","AI Infrastructure|Artificial Intelligence","","United States","","verified"
"ent_gumloop","Gumloop","https://www.gumloop.com/","Organization","CIO|CTO|COO","Artificial Intelligence|Enterprise Technology","","United States","","verified"
"ent_compose_ai","Compose AI","https://www.compose.ai/","Organization","CIO|CTO","Artificial Intelligence","","United States","","verified"
"ent_applitools","Applitools","https://applitools.com/","Organization","CIO|CTO","Enterprise Technology|Artificial Intelligence","","United States","","verified"
"ent_witnessai","WitnessAI","https://witness.ai/","Organization","CISO|CIO","AI Security|Cybersecurity|Artificial Intelligence","","United States","","verified"
"ent_resemble_ai","Resemble AI","https://www.resemble.ai/","Organization","CIO|CTO|CISO","Artificial Intelligence|AI Security","","United States","","verified"
"ent_finrep","Finrep","https://finrep.ai/","Organization","CFO","CFO Technology|Artificial Intelligence|Accounting Software","","United States","","verified"
"ent_thinkingai","ThinkingAI","https://thinkingai.io/","Organization","CEO|CMO|CIO|CTO|COO","Artificial Intelligence|AI Agents|Enterprise Automation","","United States","","verified"
"ent_qognitive","Qognitive","https://qognitive.io/","Organization","CIO|CTO","Artificial Intelligence|Machine Learning","","United States","","verified"
"ent_contextqa","ContextQA","https://contextqa.com/","Organization","CIO|CTO","Artificial Intelligence|Enterprise Technology","","United States","","verified"
"ent_herculesai","HerculesAI","https://hercules.ai/","Organization","CIO|CTO|COO","Artificial Intelligence|Enterprise Technology","","United States","","verified"
"ent_atlas_cloud_ai","Atlas Cloud AI","https://atlascloud.ai/","Organization","CIO|CTO","AI Infrastructure|Artificial Intelligence","","United States","","verified"
"ent_agentic_fabriq","Agentic Fabriq","https://agenticfabriq.com/","Organization","CISO|CIO|CTO","AI Security|Agent Identity|Identity and Access Management|AI Infrastructure","San Francisco, California, United States","United States","2025","verified"
"ent_axari_technologies_inc","Axari Technologies, Inc.","https://axari.ai/","Organization","CISO|CIO","Cybersecurity|AI Security|GRC Automation|AI Agents","","United States","","verified"
"ent_agentrys","Agentrys","https://agentrys.ai/","Organization","CTO|CIO","Artificial Intelligence|AI Agents|Semiconductor Technology|Electronic Design Automation","","United States","","verified"
"ent_agentweb","AgentWeb","https://agentweb.pro/","Organization","CMO|CEO","Marketing Technology|Artificial Intelligence|AI Agents","","United States","","verified"
"ent_code_conductor","Code Conductor","https://codeconductor.ai/","Organization","CIO|CTO","Artificial Intelligence|Enterprise Technology","","United States","","verified"
"ent_everything_ai","Everything AI","https://geteverything.ai/","Organization","CIO|CTO","Artificial Intelligence|AI Agents|AI Infrastructure","","United States","","high confidence"
"ent_xtrace","XTrace","https://xtrace.ai/","Organization","CIO|CTO","AI Infrastructure|Artificial Intelligence","","United States","","verified"
"ent_velixar_ai","Velixar AI","https://velixarai.com/","Organization","CTO|CIO|CISO","AI Infrastructure|Artificial Intelligence|AI Agents","","United States","","verified"
