id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,geography_status,founded_year,verification_status
"ent_wilson_sonsini","Wilson Sonsini Goodrich & Rosati","https://www.wsgr.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","United States|Silicon Valley|San Francisco Bay Area|New York|Boston|London","verified","","verified"
"ent_open_future_forum","Open Future Forum","https://openfutureforum.com/","executive community","Executive Communities","","CEO|CFO|CMO|CISO|CTO|Board","Executive Communities","","United States|Silicon Valley|San Francisco Bay Area","verified","2019","verified"
"ent_silicon_valley_bank","Silicon Valley Bank","https://www.svb.com/","Organization","Banks","","CEO|CFO","Banks","Santa Clara, California, United States","United States|Silicon Valley|San Francisco Bay Area","verified","1983","verified"
"ent_pier_70_ventures","Pier 70 Ventures","https://www.pier70ventures.com/","Organization","Venture Capital","","CEO|CFO","Venture Capital","","United States|New York|San Francisco Bay Area|Seattle","verified","","verified"
"ent_avenue_capital_group","Avenue Capital Group","https://www.avenuecapital.com/","Organization","Private Credit","","CEO|CFO","Private Credit","New York, New York, United States","United States|New York|Silicon Valley","verified","1995","verified"
"ent_intrepid_investment_bankers","Intrepid Investment Bankers","https://intrepidib.com/","Organization","Investment Banks","M&A Advisors","CEO|CFO","Investment Banks|M&A Advisors","Los Angeles, California, United States","United States|Los Angeles|San Francisco Bay Area|Chicago|New York","verified","2010","verified"
"ent_cfgi","CFGI","https://www.cfgi.com/","Organization","Accounting","Finance Advisory|Consulting","CFO","Accounting|Finance Advisory|Consulting","Boston, Massachusetts, United States","United States|Boston|New York|Chicago|San Francisco Bay Area|Los Angeles|Washington DC|London|Singapore","verified","2001","verified"
"ent_danforth_advisors","Danforth Advisors","https://danforthadvisors.com/","Organization","Finance Advisory","Accounting","CEO|CFO","Finance Advisory|Accounting","Waltham, Massachusetts, United States","United States|New York|San Francisco Bay Area|London","verified","2011","verified"
"ent_ghj","GHJ","https://www.ghjadvisors.com/","Organization","Accounting","Finance Advisory","CEO|CFO","Accounting|Finance Advisory","Los Angeles, California, United States","United States|Los Angeles|San Francisco Bay Area","verified","","verified"
"ent_rippling","Rippling","https://www.rippling.com/","Organization","HR Technology","Enterprise Technology","CFO|CIO|CHRO","HR Technology|Enterprise Technology","","United States|San Francisco Bay Area|New York|Austin|Seattle|London|Singapore","verified","","verified"
"ent_lattice","Lattice","https://lattice.com/","Organization","HR Technology","","CHRO","HR Technology","San Francisco, California, United States","United States|San Francisco Bay Area|London","verified","","verified"
"ent_coupa","Coupa","https://www.coupa.com/","Organization","CFO Technology","Spend Management|Enterprise Technology","CFO|COO","CFO Technology|Spend Management|Enterprise Technology","San Mateo, California, United States","United States|San Francisco Bay Area|London|Singapore","verified","","verified"
"ent_carta","Carta","https://carta.com/","Organization","Equity Management","Private Market Infrastructure|CFO Technology","CEO|CFO|CLO","Equity Management|Private Market Infrastructure|CFO Technology","San Francisco, California, United States","United States|San Francisco Bay Area|London|Singapore","verified","2012","verified"
"ent_databricks","Databricks","https://www.databricks.com/","Organization","Enterprise Technology","Artificial Intelligence|AI Infrastructure","CIO|CTO","Enterprise Technology|Artificial Intelligence|AI Infrastructure","San Francisco, California, United States","United States|San Francisco Bay Area","verified","2013","verified"
"ent_writer","Writer","https://writer.com/","Organization","Artificial Intelligence","Enterprise Technology","CIO|CTO","Artificial Intelligence|Enterprise Technology","San Francisco, California, United States","San Francisco Bay Area|New York|London|Chicago|Austin","verified","2020","verified"
"ent_glean","Glean","https://www.glean.com/","Organization","Artificial Intelligence","Enterprise Technology","CIO|CTO","Artificial Intelligence|Enterprise Technology","San Francisco, California, United States","United States|San Francisco Bay Area|Silicon Valley","verified","","verified"
"ent_servicenow","ServiceNow","https://www.servicenow.com/","Organization","Enterprise Technology","Artificial Intelligence","CIO|CTO|CISO|COO","Enterprise Technology|Artificial Intelligence","","United States|Silicon Valley|San Francisco Bay Area|London|Singapore","verified","","verified"
"ent_pitchbook","PitchBook","https://pitchbook.com/","Organization","Research Firms","Private Market Infrastructure","CEO|CFO","Research Firms|Private Market Infrastructure","Seattle, Washington, United States","United States|Seattle|San Francisco Bay Area|New York|London","verified","2007","verified"
"ent_affirm","Affirm","https://www.affirm.com/","Organization","Fintech","Payments","CFO","Fintech|Payments","San Francisco, California, United States","United States|San Francisco Bay Area","verified","","verified"
"ent_pipe","Pipe","https://pipe.com/","Organization","Fintech","Private Credit","CEO|CFO","Fintech|Private Credit","","United States|San Francisco Bay Area|New York","verified","2019","verified"
"ent_bdev_ventures","BDEV Ventures","https://bdevventures.com/","Organization","Venture Capital","","CEO|CFO","Venture Capital","Mountain View, California, United States","United States|Silicon Valley|San Francisco Bay Area","verified","2021","verified"
"ent_ironarc_ventures","IronArc Ventures","https://ironarcventures.com/","Organization","Venture Capital","","CEO|CFO","Venture Capital","Menlo Park, California, United States","United States|Silicon Valley|San Francisco Bay Area","verified","2023","verified"
"ent_oguz_law","Oguz Law","https://oguz.law/","Organization","Law Firms","","CLO|General Counsel","Law Firms","Walnut Creek, California, United States","United States|San Francisco Bay Area","verified","","verified"
"ent_909cyber","909Cyber","https://909cyber.com/","Organization","Cybersecurity","Consulting","CISO","Cybersecurity|Consulting","San Francisco, California, United States","United States|San Francisco Bay Area","verified","","verified"
