id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,founded_year,verification_status
"ent_russell_reynolds_associates","Russell Reynolds Associates","https://www.russellreynolds.com/","executive search firm","Executive Search","Board Advisory","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Board Advisory","","United States|New York|Boston|San Francisco Bay Area|London|Singapore","","verified"
"ent_heidrick_struggles","Heidrick & Struggles","https://www.heidrick.com/","executive search firm","Executive Search","Consulting|Board Advisory","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Consulting|Board Advisory","","United States|Chicago|New York|San Francisco Bay Area|London|Singapore","","verified"
"ent_wilson_sonsini","Wilson Sonsini Goodrich & Rosati","https://www.wsgr.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","United States|Silicon Valley|San Francisco Bay Area|New York|Boston|London","","verified"
"ent_fenwick_west","Fenwick & West","https://www.fenwick.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","United States|Silicon Valley|San Francisco Bay Area|New York","","verified"
"ent_latham_watkins","Latham & Watkins","https://www.lw.com/","law firm","Law Firms","","CEO|CFO|CLO|General Counsel|Board","Law Firms","","United States|Los Angeles|New York|San Francisco Bay Area|London|Singapore","","verified"
"ent_mckinsey","McKinsey & Company","https://www.mckinsey.com/","consultancy","Consulting","","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|Board","Consulting","","United States|New York|Boston|Silicon Valley|London|Singapore","","verified"
"ent_bcg","Boston Consulting Group","https://www.bcg.com/","consultancy","Consulting","","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|Board","Consulting","","United States|Boston|New York|San Francisco Bay Area|London|Singapore","","verified"
"ent_bain","Bain & Company","https://www.bain.com/","consultancy","Consulting","","CEO|CFO|CMO|CIO|CTO|COO|CHRO|Board","Consulting","","United States|Boston|New York|San Francisco Bay Area|London|Singapore","","verified"
"ent_evercore","Evercore","https://www.evercore.com/","investment bank","Investment Banks","M&A Advisors","CEO|CFO|Board","Investment Banks|M&A Advisors","","United States|New York|San Francisco Bay Area|London","","verified"
"ent_lazard","Lazard","https://www.lazard.com/","investment bank","Investment Banks","M&A Advisors|Wealth Management","CEO|CFO|Board","Investment Banks|M&A Advisors|Wealth Management","","United States|New York|San Francisco Bay Area|London","","verified"
"ent_houlihan_lokey","Houlihan Lokey","https://www.hl.com/","investment bank","Investment Banks","M&A Advisors|Finance Advisory","CEO|CFO|Board","Investment Banks|M&A Advisors|Finance Advisory","","United States|Los Angeles|New York|San Francisco Bay Area|London","","verified"
"ent_andreessen_horowitz","Andreessen Horowitz","https://a16z.com/","venture capital firm","Venture Capital","","CEO|CFO|Board","Venture Capital","","United States|Silicon Valley|San Francisco Bay Area","","verified"
"ent_accel","Accel","https://www.accel.com/","venture capital firm","Venture Capital","","CEO|CFO|Board","Venture Capital","","United States|Silicon Valley|San Francisco Bay Area|London","","verified"
"ent_lightspeed","Lightspeed Venture Partners","https://lsvp.com/","venture capital firm","Venture Capital","","CEO|CFO|Board","Venture Capital","","United States|Silicon Valley|San Francisco Bay Area|London|Singapore","","verified"
"ent_kkr","KKR","https://www.kkr.com/","private equity firm","Private Equity","Private Credit","CEO|CFO|COO|Board","Private Equity|Private Credit","","United States|New York|San Francisco Bay Area|London|Singapore","","verified"
"ent_silver_lake","Silver Lake","https://www.silverlake.com/","private equity firm","Private Equity","","CEO|CFO|COO|Board","Private Equity","","United States|Silicon Valley|San Francisco Bay Area|New York|London","","verified"
"ent_anaplan","Anaplan","https://www.anaplan.com/","software company","Enterprise Technology","","CFO|COO","Enterprise Technology","","United States|New York|San Francisco Bay Area|London|Singapore","","verified"
